timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%], pstate
2026/06/11 15:28:25.049, 308.89 W, 56, 2842 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:28:26.060, 315.87 W, 46, 2842 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:28:27.067, 249.58 W, 50, 2857 MHz, 13801 MHz, 22238 MiB, 32 %, P1
2026/06/11 15:28:28.068, 325.93 W, 49, 2842 MHz, 13801 MHz, 22238 MiB, 100 %, P1
2026/06/11 15:28:29.076, 265.74 W, 46, 2850 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:28:30.084, 298.25 W, 47, 2827 MHz, 13801 MHz, 22238 MiB, 0 %, P1
2026/06/11 15:28:31.086, 303.82 W, 51, 2850 MHz, 13801 MHz, 22238 MiB, 74 %, P1
2026/06/11 15:28:32.102, 306.97 W, 51, 2850 MHz, 13801 MHz, 22238 MiB, 61 %, P1
2026/06/11 15:28:33.102, 311.75 W, 51, 2850 MHz, 13801 MHz, 22238 MiB, 67 %, P1
2026/06/11 15:28:34.118, 309.51 W, 52, 2850 MHz, 13801 MHz, 22238 MiB, 61 %, P1
2026/06/11 15:28:35.118, 310.95 W, 51, 2850 MHz, 13801 MHz, 22238 MiB, 62 %, P1
2026/06/11 15:28:36.119, 309.11 W, 54, 2850 MHz, 13801 MHz, 22238 MiB, 60 %, P1
2026/06/11 15:28:37.120, 307.34 W, 51, 2850 MHz, 13801 MHz, 22238 MiB, 60 %, P1
2026/06/11 15:28:38.135, 313.17 W, 52, 2850 MHz, 13801 MHz, 22238 MiB, 77 %, P1
